Generator,Bus,Pmax,Pmin,Qmax,Qmin,Ramp,SRamp,MinUP,MinDW,InitS,InitP,StartUpCost,FixedCost,VariableCost,Type,PminFactor,QFactor,RampFactor,StartUpCostFactor
G65,62,100.0,20.0,70.0,-70.0,77.66666666666667,77.66666666666667,10,10,-10,0,3000,600.0,8,Thermal,0.2,0.7,0.7766666666666667,30
G66,65,491.0,98.2,343.7,-343.7,338.78999999999996,338.78999999999996,10,10,-10,0,14730,2946.0,10,Thermal,0.2,0.7,0.69,30
G69,66,492.0,98.4,344.4,-344.4,329.64000000000004,329.64000000000004,8,8,-8,0,14760,2952.0,12,Thermal,0.2,0.7,0.67,30
G26,25,320.0,64.0,224.0,-224.0,208.0,208.0,8,8,-8,0,9600,1920.0,14,Thermal,0.2,0.7,0.65,30
G87,87,104.0,20.8,72.8,-72.8,72.31466666666665,72.31466666666665,8,8,-8,0,3120,624.0,16,Thermal,0.2,0.7,0.6953333333333332,30
G89,89,707.0,141.4,494.9,-494.9,431.27,431.27,8,8,-8,0,21210,4242.0,18,Thermal,0.2,0.7,0.61,30
G49,46,119.0,23.8,83.3,-83.3,77.38966666666667,77.38966666666667,8,8,-8,0,3570,714.0,20,Thermal,0.2,0.7,0.6503333333333333,30
G54,49,304.0,60.800000000000004,212.79999999999998,-212.79999999999998,173.27999999999997,173.27999999999997,8,8,-8,0,9120,1824.0,22,Thermal,0.2,0.7,0.57,30
G10,8,100.0,20.0,70.0,-70.0,61.66666666666667,61.66666666666667,8,8,-8,0,3000,600.0,24,Thermal,0.2,0.7,0.6166666666666667,30
G55,54,148.0,29.6,103.6,-103.6,85.93866666666666,85.93866666666666,5,5,-5,0,4440,888.0,26,Thermal,0.2,0.7,0.5806666666666667,30
G12,10,550.0,110.0,385.0,-385.0,280.5,280.5,8,8,-8,0,16500,3300.0,28,Thermal,0.2,0.7,0.51,30
G56,55,100.0,20.0,70.0,-70.0,55.666666666666664,55.666666666666664,5,5,-5,0,3000,600.0,30,Thermal,0.2,0.7,0.5566666666666666,30
G59,56,100.0,20.0,70.0,-70.0,53.66666666666667,53.66666666666667,8,8,-8,0,3000,600.0,32,Thermal,0.2,0.7,0.5366666666666667,30
G61,59,255.0,51.0,178.5,-178.5,118.57499999999999,118.57499999999999,8,8,-8,0,7650,1530.0,34,Thermal,0.2,0.7,0.46499999999999997,30
G62,61,260.0,52.0,182.0,-182.0,115.26666666666668,115.26666666666668,5,5,-5,0,7800,1560.0,36,Thermal,0.2,0.7,0.44333333333333336,30
G70,69,805.2,161.04000000000002,563.64,-563.64,330.13200000000006,330.13200000000006,4,4,-4,0,24156,4831.2,38,Thermal,0.2,0.7,0.41000000000000003,30
G18,15,100.0,20.0,70.0,-70.0,45.666666666666664,45.666666666666664,5,5,-5,0,3000,600.0,40,Thermal,0.2,0.7,0.45666666666666667,30
G91,91,100.0,20.0,70.0,-70.0,43.666666666666664,43.666666666666664,1,1,-1,0,3000,600.0,42,Thermal,0.2,0.7,0.43666666666666665,30
G110,110,100.0,20.0,70.0,-70.0,41.666666666666664,41.666666666666664,2,2,-2,0,3000,600.0,44,Thermal,0.2,0.7,0.41666666666666663,30
G116,116,100.0,20.0,70.0,-70.0,39.66666666666667,39.66666666666667,2,2,-2,0,3000,600.0,46,Thermal,0.2,0.7,0.3966666666666667,30
G92,92,100.0,20.0,70.0,-70.0,37.66666666666667,37.66666666666667,8,8,-8,0,3000,600.0,48,Thermal,0.2,0.7,0.3766666666666667,30
G111,111,136.0,27.200000000000003,95.19999999999999,-95.19999999999999,46.87466666666667,46.87466666666667,5,5,-5,0,4080,816.0,50,Thermal,0.2,0.7,0.3446666666666667,30
G99,99,100.0,20.0,70.0,-70.0,33.666666666666664,33.666666666666664,8,8,-8,0,3000,600.0,52,Thermal,0.2,0.7,0.33666666666666667,30
G112,112,100.0,20.0,70.0,-70.0,31.666666666666664,31.666666666666664,5,5,-5,0,3000,600.0,54,Thermal,0.2,0.7,0.31666666666666665,30
G100,100,352.0,70.4,246.39999999999998,-246.39999999999998,80.96000000000001,80.96000000000001,8,8,-8,0,10560,2112.0,56,Thermal,0.2,0.7,0.23,30
G113,113,100.0,20.0,70.0,-70.0,27.66666666666667,27.66666666666667,5,5,-5,0,3000,600.0,58,Thermal,0.2,0.7,0.2766666666666667,30
G4,1,100.0,20.0,70.0,-70.0,25.66666666666667,25.66666666666667,1,1,-1,0,3000,600.0,60,Thermal,0.2,0.7,0.2566666666666667,30
G6,4,100.0,20.0,70.0,-70.0,23.666666666666668,23.666666666666668,1,1,-1,0,3000,600.0,62,Thermal,0.2,0.7,0.2366666666666667,30
G8,6,100.0,20.0,70.0,-70.0,21.666666666666668,21.666666666666668,1,1,-1,0,3000,600.0,64,Thermal,0.2,0.7,0.21666666666666667,30
G15,12,185.0,37.0,129.5,-129.5,37.0,37.01,1,1,-1,0,5550,1110.0,66,Thermal,0.2,0.7,0.2,30
G19,18,100.0,20.0,70.0,-70.0,20.0,20.01,1,1,-1,0,3000,600.0,68,Thermal,0.2,0.7,0.2,30
G24,19,100.0,20.0,70.0,-70.0,20.0,20.01,1,1,-1,0,3000,600.0,70,Thermal,0.2,0.7,0.2,30
G27,26,414.0,82.80000000000001,289.79999999999995,-289.79999999999995,82.80000000000001,82.81000000000002,1,1,-1,0,12420,2484.0,72,Thermal,0.2,0.7,0.2,30
G31,27,100.0,20.0,70.0,-70.0,20.0,20.01,1,1,-1,0,3000,600.0,74,Thermal,0.2,0.7,0.2,30
G34,32,100.0,20.0,70.0,-70.0,20.0,20.01,1,1,-1,0,3000,600.0,76,Thermal,0.2,0.7,0.2,30
G40,36,100.0,20.0,70.0,-70.0,20.0,20.01,1,1,-1,0,3000,600.0,78,Thermal,0.2,0.7,0.2,30
G42,40,100.0,20.0,70.0,-70.0,20.0,20.01,1,1,-1,0,3000,600.0,80,Thermal,0.2,0.7,0.2,30
G72,70,100.0,20.0,70.0,-70.0,20.0,20.01,1,1,-1,0,3000,600.0,82,Thermal,0.2,0.7,0.2,30
G73,72,100.0,20.0,70.0,-70.0,20.0,20.01,1,1,-1,0,3000,600.0,84,Thermal,0.2,0.7,0.2,30
G85,85,100.0,20.0,70.0,-70.0,20.0,20.01,1,1,-1,0,3000,600.0,86,Thermal,0.2,0.7,0.2,30
G25,24,100.0,20.0,70.0,-70.0,20.0,20.01,8,8,-8,0,3000,600.0,88,Thermal,0.2,0.7,0.2,30
G32,31,107.0,21.400000000000002,74.89999999999999,-74.89999999999999,21.400000000000002,21.410000000000004,5,5,-5,0,3210,642.0,90,Thermal,0.2,0.7,0.2,30
G36,34,100.0,20.0,70.0,-70.0,20.0,20.01,5,5,-5,0,3000,600.0,92,Thermal,0.2,0.7,0.2,30
G46,42,100.0,20.0,70.0,-70.0,20.0,20.01,5,5,-5,0,3000,600.0,94,Thermal,0.2,0.7,0.2,30
G74,73,100.0,20.0,70.0,-70.0,20.0,20.01,1,1,-1,0,3000,600.0,96,Thermal,0.2,0.7,0.2,30
G90,90,100.0,20.0,70.0,-70.0,20.0,20.01,1,1,-1,0,3000,600.0,98,Thermal,0.2,0.7,0.2,30
