Gen/Hour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
WindFarmAt1,30.357,34.452,29.494,22.832,27.264,32.416,18.78,33.362,24.499,23.359,46.641,30.539,37.845,39.813,35.489,44.989,43.986,23.815,40.912,26.055,41.531,31.953,39.511,41.288
WindFarmAt4,32.311,29.35,28.507,27.203,29.16,31.725,29.065,27.056,26.958,31.431,23.472,41.434,30.945,46.61,40.26,40.71,59.119,45.093,50.724,45.197,31.126,45.951,31.719,34.05
WindFarmAt5,28.508,21.325,26.203,24.167,36.044,31.195,23.365,25.913,24.05,29.321,30.615,39.978,51.75,38.545,59.261,40.135,37.402,40.542,37.822,31.222,29.054,26.056,36.995,36.876
WindFarmAt7,29.664,36.195,33.181,28.198,22.644,23.5,23.004,36.964,42.853,29.099,30.435,38.35,19.349,69.869,49.543,31.48,55.975,55.783,41.791,29.003,44.124,26.837,32.918,26.431
WindFarmAt8,32.123,33.79,25.008,27.927,31.166,24.898,28.705,22.771,32.809,43.772,37.6,42.539,41.365,49.616,32.431,39.525,69.314,42.505,44.9,33.602,31.871,41.491,40.32,25.25
WindFarmAt11,31.678,35.306,30.469,28.683,32.336,40.109,22.697,21.884,32.992,27.093,46.416,31.471,44.013,35.254,39.882,43.919,36.078,32.28,34.635,34.585,24.675,46.401,37.945,17.492
WindFarmAt12,36.439,28.415,31.278,34.845,26.91,27.043,16.607,30.975,31.399,22.971,31.909,29.545,32.587,41.969,23.599,42.133,47.318,27.983,32.549,14.139,43.59,25.911,12.211,38.072
WindFarmAt14,29.049,33.941,28.622,25.385,28.054,26.132,20.545,21.446,27.288,28.033,29.116,34.002,41.343,28.365,38.739,24.109,45.996,42.616,32.219,28.409,27.115,30.07,44.212,41.568
WindFarmAt15,27.524,34.81,38.111,30.871,23.979,23.077,28.57,24.724,25.155,39.279,35.305,33.416,37.383,55.291,59.444,49.45,33.232,29.566,36.536,29.399,48.525,62.875,40.742,46.71
WindFarmAt21,25.335,27.244,24.785,29.959,21.78,29.71,24.826,31.483,25.425,30.787,42.033,32.371,35.912,31.171,57.362,43.329,64.65,38.073,17.038,40.16,42.635,41.282,41.561,31.158
