Lower,Upper,Prom
1234.3912621206714,1249.2177978793284,1241.8045299999999
1168.1806770344049,1182.5491629655946,1175.3649199999998
1111.4728587030127,1127.3619812969864,1119.4174199999995
1125.3796822555462,1141.7626377444533,1133.5711599999997
1141.6915724955313,1157.3909675044686,1149.54127
1307.0557144506697,1325.0508455493305,1316.05328
1787.5455836127828,1805.0913963872174,1796.31849
2481.7491194292397,2509.0411205707587,2495.395119999999
2882.6620718886998,2915.792968111301,2899.2275200000004
3042.4352160796266,3077.2876639203755,3059.861440000001
3164.96008257576,3203.4969774242386,3184.2285299999994
3300.4899801603215,3336.023759839678,3318.2568699999997
3319.7158093563585,3363.377090643642,3341.5464500000003
3402.0190705975424,3446.13074940246,3424.074910000001
3410.9544483163545,3455.2020316836424,3433.0782399999985
3130.912207100347,3177.129392899657,3154.020800000002
2651.136387702301,2693.8194322976983,2672.4779099999996
1999.85747721201,2036.5089827879883,2018.1832299999992
1508.3532198695004,1541.8544001305006,1525.1038100000005
1359.784893794795,1392.7919462052039,1376.2884199999994
1412.0094311736186,1444.7984288263808,1428.4039299999997
1397.6714787129808,1434.1460012870198,1415.9087400000003
1275.114450980524,1309.6291890194766,1292.3718200000003
1245.1320821756526,1275.3343778243466,1260.2332299999996
