Gen/Hour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
WindFarmAt1,33.348,26.246,18.597,26.955,34.396,27.616,26.291,33.221,35.168,23.279,35.384,36.179,46.054,56.204,59.279,45.714,30.422,51.696,52.85,30.176,33.518,29.294,38.375,33.119
WindFarmAt4,26.3,18.832,33.923,27.64,28.278,32.526,20.2,27.656,27.285,24.793,30.706,25.803,27.09,41.71,48.625,37.577,64.397,39.736,49.518,38.143,25.911,28.398,22.276,27.928
WindFarmAt5,30.28,34.626,25.363,25.292,29.694,25.014,25.554,28.126,28.496,28.761,25.631,40.021,33.664,44.521,35.111,70.029,43.477,36.387,37.077,39.152,22.951,36.81,28.078,19.95
WindFarmAt7,46.507,36.55,27.772,28.384,24.226,21.924,29.008,26.686,28.032,27.472,28.606,40.615,52.948,38.645,23.407,44.971,58.482,60.184,33.094,44.794,37.546,32.122,32.311,16.145
WindFarmAt8,23.958,39.254,20.65,28.164,32.34,34.627,30.516,33.309,33.537,44.772,36.207,35.0,37.397,46.47,63.09,49.936,65.418,53.254,17.426,16.554,34.945,25.617,13.593,17.728
WindFarmAt11,32.382,29.669,31.403,35.501,17.69,29.799,31.67,30.54,25.629,24.643,29.118,56.5,38.576,30.952,40.888,58.997,34.058,34.788,61.26,56.55,34.67,34.229,21.92,35.778
WindFarmAt12,36.324,35.063,23.736,26.663,35.95,26.886,31.303,30.977,24.997,31.288,34.849,47.784,31.176,32.855,37.815,49.25,43.364,42.907,43.702,46.793,35.675,17.211,23.488,30.416
WindFarmAt14,35.483,39.339,31.653,34.067,29.879,36.639,26.859,35.748,29.059,29.62,37.541,25.964,47.938,26.726,50.639,46.735,72.605,38.479,42.065,34.283,45.684,24.813,34.492,43.131
WindFarmAt15,39.608,27.11,20.877,24.869,36.348,23.698,24.772,17.498,23.119,25.631,25.962,40.589,20.615,36.805,44.625,39.419,30.318,46.417,34.197,36.481,29.305,47.791,35.316,33.631
WindFarmAt21,32.589,26.43,38.089,34.585,37.851,30.068,31.905,38.335,30.482,38.233,25.047,45.335,37.704,43.791,51.673,35.295,50.694,35.814,24.596,50.795,52.928,34.188,36.386,32.126
WindFarmAt25,34.545,36.086,27.79,28.275,36.951,30.991,32.71,26.861,34.176,27.061,20.95,29.232,45.078,48.972,18.83,27.653,59.678,50.538,37.182,23.44,37.577,35.83,16.218,19.703
WindFarmAt28,34.411,36.383,29.707,33.214,24.94,22.126,22.081,28.081,24.165,45.905,40.833,23.934,38.778,35.574,35.208,46.59,36.591,24.555,31.652,35.386,37.41,35.265,35.288,20.23
WindFarmAt31,34.424,30.797,33.233,20.476,30.895,25.599,30.299,22.323,29.569,25.298,34.127,43.178,31.05,36.643,41.091,38.799,45.661,50.514,25.495,42.282,50.487,43.831,32.61,14.156
